freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,values
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2024-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2014-01-01,107
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2015-01-01,107
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2016-01-01,107
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2017-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2018-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2019-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2020-01-01,104
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2021-01-01,104
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2022-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2023-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2024-01-01,104
A,VI_PPS_EU27_2020_HAB,GDP,EA20,2025-01-01,104
A,VI_PPS_EU27_2020_HAB,GDP,EA21,2025-01-01,103
A,VI_PPS_EU27_2020_HAB,GDP,EE,2014-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,EE,2015-01-01,77
A,VI_PPS_EU27_2020_HAB,GDP,EE,2016-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,EE,2017-01-01,80
A,VI_PPS_EU27_2020_HAB,GDP,EE,2018-01-01,82
A,VI_PPS_EU27_2020_HAB,GDP,EE,2019-01-01,84
A,VI_PPS_EU27_2020_HAB,GDP,EE,2020-01-01,85
A,VI_PPS_EU27_2020_HAB,GDP,EE,2021-01-01,85
A,VI_PPS_EU27_2020_HAB,GDP,EE,2022-01-01,83
A,VI_PPS_EU27_2020_HAB,GDP,EE,2023-01-01,80
A,VI_PPS_EU27_2020_HAB,GDP,EE,2024-01-01,79
A,VI_PPS_EU27_2020_HAB,GDP,EE,2025-01-01,79
A,VI_PPS_EU27_2020_HAB,GDP,EL,2014-01-01,71
A,VI_PPS_EU27_2020_HAB,GDP,EL,2015-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,EL,2016-01-01,67
A,VI_PPS_EU27_2020_HAB,GDP,EL,2017-01-01,67
A,VI_PPS_EU27_2020_HAB,GDP,EL,2018-01-01,66
A,VI_PPS_EU27_2020_HAB,GDP,EL,2019-01-01,66
A,VI_PPS_EU27_2020_HAB,GDP,EL,2020-01-01,62
A,VI_PPS_EU27_2020_HAB,GDP,EL,2021-01-01,64
A,VI_PPS_EU27_2020_HAB,GDP,EL,2022-01-01,66
A,VI_PPS_EU27_2020_HAB,GDP,EL,2023-01-01,68
A,VI_PPS_EU27_2020_HAB,GDP,EL,2024-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,EL,2025-01-01,68
A,VI_PPS_EU27_2020_HAB,GDP,ES,2014-01-01,90
